,id,title,original_title
485,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
486,129,Spirited Away,千と千尋の神隠し
487,155,The Dark Knight,The Dark Knight
488,496243,Parasite,기생충
489,497,The Green Mile,The Green Mile
490,372058,Your Name.,君の名は。
491,680,Pulp Fiction,Pulp Fiction
492,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
493,13,Forrest Gump,Forrest Gump
494,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
495,769,GoodFellas,GoodFellas
496,346,Seven Samurai,七人の侍
497,12477,Grave of the Fireflies,火垂るの墓
498,637,Life Is Beautiful,La vita è bella
499,11216,Cinema Paradiso,Nuovo Cinema Paradiso
500,278,The Shawshank Redemption,The Shawshank Redemption
501,238,The Godfather,The Godfather
502,240,The Godfather Part II,The Godfather Part II
503,424,Schindler's List,Schindler's List
504,389,12 Angry Men,12 Angry Men
505,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
506,129,Spirited Away,千と千尋の神隠し
507,155,The Dark Knight,The Dark Knight
508,496243,Parasite,기생충
509,497,The Green Mile,The Green Mile
510,372058,Your Name.,君の名は。
511,680,Pulp Fiction,Pulp Fiction
512,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
513,13,Forrest Gump,Forrest Gump
514,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
515,769,GoodFellas,GoodFellas
516,346,Seven Samurai,七人の侍
517,12477,Grave of the Fireflies,火垂るの墓
518,637,Life Is Beautiful,La vita è bella
519,11216,Cinema Paradiso,Nuovo Cinema Paradiso
520,278,The Shawshank Redemption,The Shawshank Redemption
521,238,The Godfather,The Godfather
522,240,The Godfather Part II,The Godfather Part II
523,424,Schindler's List,Schindler's List
524,389,12 Angry Men,12 Angry Men
525,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
526,129,Spirited Away,千と千尋の神隠し
527,155,The Dark Knight,The Dark Knight
528,496243,Parasite,기생충
529,497,The Green Mile,The Green Mile
530,372058,Your Name.,君の名は。
531,680,Pulp Fiction,Pulp Fiction
532,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
533,13,Forrest Gump,Forrest Gump
534,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
535,769,GoodFellas,GoodFellas
536,346,Seven Samurai,七人の侍
537,12477,Grave of the Fireflies,火垂るの墓
538,637,Life Is Beautiful,La vita è bella
539,11216,Cinema Paradiso,Nuovo Cinema Paradiso
540,278,The Shawshank Redemption,The Shawshank Redemption
541,238,The Godfather,The Godfather
542,240,The Godfather Part II,The Godfather Part II
543,424,Schindler's List,Schindler's List
544,389,12 Angry Men,12 Angry Men
545,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
546,129,Spirited Away,千と千尋の神隠し
547,155,The Dark Knight,The Dark Knight
548,496243,Parasite,기생충
549,497,The Green Mile,The Green Mile
