,timestamp,Open,High,Low,Close,Volume,year,month,day,hour,minute,weekday,is_weekend,close_change,close_pct_change,close_ma_5,close_ma_10,volume_change,volume_pct_change,price_spread,rolling_std,SMA10,SMA50
0,2024-02-02 19:55:00,411.05,411.22,410.98,411.14,1334.0,2024,2,2,19,55,4,0,,,,,,,0.2400000000000091,,,
1,2024-02-02 19:50:00,411.0,411.22,410.94,411.09,1659.0,2024,2,2,19,50,4,0,-0.05000000000001137,-0.00012161307583791192,,,325.0,0.24362818590704638,0.28000000000002956,,,
2,2024-02-02 19:45:00,411.185,411.22,410.89,411.08,1430.0,2024,2,2,19,45,4,0,-0.009999999999990905,-2.432557347542552e-05,,,-229.0,-0.13803496081977096,0.3300000000000409,,,
3,2024-02-02 19:40:00,411.21,411.4,411.0,411.21,2544.0,2024,2,2,19,40,4,0,0.12999999999999545,0.00031624014790310184,,,1114.0,0.779020979020979,0.39999999999997726,,,
4,2024-02-02 19:35:00,411.02,411.3,411.01,411.205,703.0,2024,2,2,19,35,4,0,-0.0049999999999954525,-1.2159237372633136e-05,411.145,,-1841.0,-0.7236635220125787,0.29000000000002046,,,
5,2024-02-02 19:30:00,411.17,411.45,410.89,411.225,288.0,2024,2,2,19,30,4,0,0.020000000000038654,4.86375408861317e-05,411.162,,-415.0,-0.5903271692745378,0.5600000000000023,,,
6,2024-02-02 19:25:00,411.1,411.45,410.89,411.17,168.0,2024,2,2,19,25,4,0,-0.05500000000000682,-0.00013374673232413592,411.178,,-120.0,-0.41666666666666663,0.5600000000000023,,,
7,2024-02-02 19:20:00,410.95,411.5,410.89,411.105,329.0,2024,2,2,19,20,4,0,-0.06499999999999773,-0.00015808546343365482,411.183,,161.0,0.9583333333333333,0.6100000000000136,,,
8,2024-02-02 19:15:00,411.08,411.15,410.88,411.01,339.0,2024,2,2,19,15,4,0,-0.09500000000002728,-0.00023108451612130487,411.14300000000003,,10.0,0.03039513677811545,0.2699999999999818,,,
9,2024-02-02 19:10:00,411.28,411.3,411.01,411.15,462.0,2024,2,2,19,10,4,0,0.13999999999998636,0.00034062431571002527,411.13199999999995,411.1385,123.0,0.36283185840707954,0.29000000000002046,,411.1385,
10,2024-02-02 19:05:00,411.01,411.49,411.01,411.155,1142.0,2024,2,2,19,5,4,0,0.0049999999999954525,1.2161011796241183e-05,411.11800000000005,411.14,680.0,1.4718614718614718,0.4800000000000182,,411.14,
11,2024-02-02 19:00:00,411.03,411.5,411.02,411.115,980.0,2024,2,2,19,0,4,0,-0.03999999999996362,-9.728691126209554e-05,411.10699999999997,411.14250000000004,-162.0,-0.14185639229422065,0.4800000000000182,,411.14250000000004,
12,2024-02-02 18:55:00,411.13,411.2,411.02,411.09,247.0,2024,2,2,18,55,4,0,-0.025000000000034106,-6.0810235578911964e-05,411.104,411.14349999999996,-733.0,-0.7479591836734694,0.18000000000000682,,411.14349999999996,
13,2024-02-02 18:50:00,411.235,411.45,411.02,411.22,556.0,2024,2,2,18,50,4,0,0.1300000000000523,0.0003162324551801987,411.146,411.1445,309.0,1.2510121457489878,0.4300000000000068,,411.1445,
14,2024-02-02 18:45:00,411.45,411.45,411.01,411.11,1847.0,2024,2,2,18,45,4,0,-0.11000000000001364,-0.00026749671708581335,411.13800000000003,411.13500000000005,1291.0,2.3219424460431655,0.4399999999999977,,411.13500000000005,
15,2024-02-02 18:40:00,411.45,411.45,411.28,411.3,198.0,2024,2,2,18,40,4,0,0.18999999999999773,0.00046216341125249194,411.16700000000003,411.14250000000004,-1649.0,-0.8927991337303736,0.17000000000001592,,411.14250000000004,
16,2024-02-02 18:35:00,411.43,411.53,411.314,411.45,243.0,2024,2,2,18,35,4,0,0.14999999999997726,0.0003646973012398913,411.23400000000004,411.1705,45.0,0.2272727272727273,0.21599999999995134,,411.1705,
17,2024-02-02 18:30:00,411.54,411.7,411.38,411.43,697.0,2024,2,2,18,30,4,0,-0.01999999999998181,-4.8608579414244346e-05,411.302,411.203,454.0,1.8683127572016462,0.3199999999999932,,411.203,
18,2024-02-02 18:25:00,411.54,411.68,411.38,411.53,130.0,2024,2,2,18,25,4,0,0.0999999999999659,0.00024305471161545356,411.36400000000003,411.255,-567.0,-0.8134863701578192,0.30000000000001137,,411.255,
19,2024-02-02 18:20:00,411.465,411.65,411.39,411.53,610.0,2024,2,2,18,20,4,0,0.0,0.0,411.448,411.293,480.0,3.6923076923076925,0.2599999999999909,0.1534624504046563,411.293,
20,2024-02-02 18:15:00,411.435,411.65,411.22,411.38,705.0,2024,2,2,18,15,4,0,-0.14999999999997726,-0.0003644934755667739,411.46399999999994,411.3155,95.0,0.15573770491803285,0.42999999999995,0.15657917956636,411.3155,
21,2024-02-02 18:10:00,411.55,411.65,411.22,411.62,1014.0,2024,2,2,18,10,4,0,0.2400000000000091,0.0005834022072050971,411.49800000000005,411.366,309.0,0.4382978723404256,0.42999999999995,0.1757186372405428,411.366,
22,2024-02-02 18:05:00,411.56,411.68,411.5,411.56,1331.0,2024,2,2,18,5,4,0,-0.060000000000002274,-0.00014576551187994724,411.524,411.413,317.0,0.31262327416173563,0.18000000000000682,0.18328346610471064,411.413,
23,2024-02-02 18:00:00,411.62,411.7,411.56,411.56,1721.0,2024,2,2,18,0,4,0,0.0,0.0,411.53000000000003,411.44699999999995,390.0,0.2930127723516154,0.13999999999998636,0.1928817131382457,411.44699999999995,
24,2024-02-02 17:55:00,411.47,411.65,411.47,411.62,1044.0,2024,2,2,17,55,4,0,0.060000000000002274,0.00014578676256205014,411.54800000000006,411.49800000000005,-677.0,-0.39337594421847766,0.17999999999994998,0.20457336864284156,411.49800000000005,
25,2024-02-02 17:50:00,411.5,411.56,411.4,411.44,1803.0,2024,2,2,17,50,4,0,-0.18000000000000682,-0.0004372965356397307,411.56000000000006,411.512,759.0,0.7270114942528736,0.160000000000025,0.20516023904303485,411.512,
26,2024-02-02 17:45:00,411.435,411.5,411.4,411.49,3396.0,2024,2,2,17,45,4,0,0.05000000000001137,0.00012152440210000393,411.534,411.51599999999996,1593.0,0.8835274542429286,0.10000000000002274,0.20472880007202324,411.51599999999996,
27,2024-02-02 17:40:00,411.435,411.47,411.4,411.42,1032.0,2024,2,2,17,40,4,0,-0.06999999999999318,-0.00017011348999973475,411.50600000000003,411.515,-2364.0,-0.6961130742049471,0.07000000000005002,0.1974215367123755,411.515,
28,2024-02-02 17:35:00,411.325,411.49,411.3,411.435,1724.0,2024,2,2,17,35,4,0,0.014999999999986358,3.645909289784477e-05,411.48099999999994,411.50550000000004,692.0,0.6705426356589148,0.18999999999999773,0.17998154145115713,411.50550000000004,
